Source,Target,Value
"""Ghani, Nusrat""","""Department for Business, Innovation and Skills""",2
"""Ghani, Nusrat""","""Department for Culture, Media and Sport""",1
"""Ghani, Nusrat""","""Department for Education""",1
"""Ghani, Nusrat""","""Department for International Development""",4
"""Ghani, Nusrat""","""Department for Transport""",8
"""Ghani, Nusrat""","""Department of Health""",10
"""Ghani, Nusrat""","""Home Office""",1
"""Ghani, Nusrat""","""Treasury""",3
"""Gibson, Patricia""","""Cabinet Office""",1
"""Gibson, Patricia""","""Department for Business, Innovation and Skills""",1
"""Gibson, Patricia""","""Department for Culture, Media and Sport""",5
"""Gibson, Patricia""","""Ministry of Defence""",1
"""Gibson, Patricia""","""Treasury""",1
"""Gillan, Cheryl""","""Cabinet Office""",1
"""Gillan, Cheryl""","""Department for Business, Innovation and Skills""",2
"""Gillan, Cheryl""","""Department for Education""",3
"""Gillan, Cheryl""","""Department for Environment, Food and Rural Affairs""",2
"""Gillan, Cheryl""","""Department for Transport""",59
"""Gillan, Cheryl""","""Department of Health""",16
"""Gillan, Cheryl""","""Treasury""",1
"""Glass, Pat""","""Department for Business, Innovation and Skills""",1
"""Glass, Pat""","""Department for Education""",1
"""Glass, Pat""","""Foreign and Commonwealth Office""",1
"""Glen, John""","""Cabinet Office; UK Statistics Authority""",1
"""Glen, John""","""Communities and Local Government""",1
"""Glen, John""","""Department for Education""",2
"""Glen, John""","""Department for Work and Pensions""",2
"""Glen, John""","""Department of Health""",19
"""Glen, John""","""Speaker's Committee on the Electoral Commission""",1
"""Glen, John""","""Treasury""",1
"""Glindon, Mary""","""Attorney General""",1
"""Glindon, Mary""","""Communities and Local Government""",2
"""Glindon, Mary""","""Department for Business, Innovation and Skills""",1
"""Glindon, Mary""","""Department for Work and Pensions""",9
"""Glindon, Mary""","""Department of Energy and Climate Change""",1
"""Glindon, Mary""","""Department of Health""",8
"""Glindon, Mary""","""Home Office""",4
"""Glindon, Mary""","""Minister for Women and Equalities""",3
"""Glindon, Mary""","""Ministry of Defence""",1
"""Glindon, Mary""","""Ministry of Justice""",14
"""Glindon, Mary""","""Treasury""",1
"""Godsiff, Roger""","""Cabinet Office""",9
"""Godsiff, Roger""","""Communities and Local Government""",5
"""Godsiff, Roger""","""Department for Business, Innovation and Skills""",12
"""Godsiff, Roger""","""Department for Culture, Media and Sport""",1
"""Godsiff, Roger""","""Department for Education""",13
"""Godsiff, Roger""","""Department for Environment, Food and Rural Affairs""",21
"""Godsiff, Roger""","""Department for International Development""",14
"""Godsiff, Roger""","""Department for Transport""",12
"""Godsiff, Roger""","""Department for Work and Pensions""",59
"""Godsiff, Roger""","""Department of Energy and Climate Change""",6
"""Godsiff, Roger""","""Department of Health""",63
"""Godsiff, Roger""","""Foreign and Commonwealth Office""",19
"""Godsiff, Roger""","""Home Office""",12
"""Godsiff, Roger""","""Ministry of Defence""",2
"""Godsiff, Roger""","""Ministry of Justice""",12
"""Godsiff, Roger""","""Northern Ireland Office""",1
"""Godsiff, Roger""","""Prime Minister""",8
"""Godsiff, Roger""","""Speaker's Committee on the Electoral Commission""",1
"""Godsiff, Roger""","""Treasury""",35
"""Goldsmith, Zac""","""Department for Environment, Food and Rural Affairs""",1
"""Goldsmith, Zac""","""Department for Transport""",27
"""Goldsmith, Zac""","""Foreign and Commonwealth Office""",2
"""Goldsmith, Zac""","""Home Office""",4
"""Goodman, Helen""","""Cabinet Office""",1
"""Goodman, Helen""","""Communities and Local Government""",2
"""Goodman, Helen""","""Department for Business, Innovation and Skills""",7
"""Goodman, Helen""","""Department for Culture, Media and Sport""",7
"""Goodman, Helen""","""Department for Education""",4
"""Goodman, Helen""","""Department for Environment, Food and Rural Affairs""",1
"""Goodman, Helen""","""Department for Transport""",1
"""Goodman, Helen""","""Department for Work and Pensions""",21
"""Goodman, Helen""","""Department of Energy and Climate Change""",1
"""Goodman, Helen""","""Department of Health""",12
"""Goodman, Helen""","""Foreign and Commonwealth Office""",12
"""Goodman, Helen""","""Home Office""",3
"""Goodman, Helen""","""Ministry of Defence""",5
"""Goodman, Helen""","""Ministry of Justice""",3
"""Goodman, Helen""","""Treasury""",22
"""Grady, Patrick""","""Cabinet Office""",2
"""Grady, Patrick""","""Department for Business, Innovation and Skills""",11
"""Grady, Patrick""","""Department for Education""",1
"""Grady, Patrick""","""Department for Environment, Food and Rural Affairs""",1
"""Grady, Patrick""","""Department for International Development""",32
"""Grady, Patrick""","""Department for Transport""",2
"""Grady, Patrick""","""Department for Work and Pensions""",2
"""Grady, Patrick""","""Department of Energy and Climate Change""",1
"""Grady, Patrick""","""Department of Health""",1
"""Grady, Patrick""","""Foreign and Commonwealth Office""",36
"""Grady, Patrick""","""Home Office""",12
"""Grady, Patrick""","""House of Commons Commission""",4
"""Grady, Patrick""","""Leader of the House of Commons""",1
"""Grady, Patrick""","""Ministry of Defence""",3
"""Grady, Patrick""","""Scotland Office""",2
"""Grady, Patrick""","""Treasury""",14
"""Graham, Richard""","""Communities and Local Government""",1
"""Graham, Richard""","""Department for Business, Innovation and Skills""",1
"""Graham, Richard""","""Department for Work and Pensions""",3
"""Graham, Richard""","""Home Office""",1
"""Graham, Richard""","""Ministry of Defence""",2
"""Graham, Richard""","""Treasury""",2
"""Grant, Peter""","""Attorney General""",3
"""Grant, Peter""","""Cabinet Office""",4
"""Grant, Peter""","""Communities and Local Government""",3
"""Grant, Peter""","""Department for Business, Innovation and Skills""",3
"""Grant, Peter""","""Department for Culture, Media and Sport""",3
"""Grant, Peter""","""Department for Education""",3
"""Grant, Peter""","""Department for Environment, Food and Rural Affairs""",3
"""Grant, Peter""","""Department for International Development""",4
"""Grant, Peter""","""Department for Transport""",3
"""Grant, Peter""","""Department for Work and Pensions""",6
"""Grant, Peter""","""Department of Energy and Climate Change""",3
"""Grant, Peter""","""Department of Health""",3
"""Grant, Peter""","""Foreign and Commonwealth Office""",5
"""Grant, Peter""","""Home Office""",3
"""Grant, Peter""","""Minister for Women and Equalities""",3
"""Grant, Peter""","""Ministry of Defence""",3
"""Grant, Peter""","""Ministry of Justice""",3
"""Grant, Peter""","""Northern Ireland Office""",3
"""Grant, Peter""","""Prime Minister""",1
"""Grant, Peter""","""Scotland Office""",9
"""Grant, Peter""","""Treasury""",3
"""Grant, Peter""","""Wales Office""",4
"""Gray, James""","""Department for Environment, Food and Rural Affairs""",1
"""Gray, James""","""Foreign and Commonwealth Office""",1
"""Gray, James""","""Ministry of Defence""",4
"""Gray, Neil""","""Cabinet Office""",2
"""Gray, Neil""","""Department for Culture, Media and Sport""",5
"""Gray, Neil""","""Department for Work and Pensions""",16
"""Gray, Neil""","""Department of Health""",1
"""Gray, Neil""","""House of Commons Commission""",6
"""Gray, Neil""","""Ministry of Defence""",4
"""Gray, Neil""","""Treasury""",10
"""Green, Chris""","""Cabinet Office""",2
"""Green, Chris""","""Communities and Local Government""",4
"""Green, Chris""","""Department for Business, Innovation and Skills""",2
"""Green, Chris""","""Department for Culture, Media and Sport""",1
"""Green, Chris""","""Department for Education""",3
"""Green, Chris""","""Department for Transport""",5
"""Green, Chris""","""Department for Work and Pensions""",1
"""Green, Chris""","""Department of Health""",4
"""Green, Chris""","""Northern Ireland Office""",1
"""Green, Chris""","""Treasury""",1
"""Green, Damian""","""Communities and Local Government""",2
"""Green, Damian""","""Department for Business, Innovation and Skills""",1
"""Green, Damian""","""Department for Transport""",1
"""Green, Damian""","""Home Office""",3
"""Green, Damian""","""Ministry of Justice""",1
"""Green, Damian""","""Treasury""",2
"""Green, Kate""","""Cabinet Office""",3
"""Green, Kate""","""Communities and Local Government""",3
"""Green, Kate""","""Department for Business, Innovation and Skills""",12
"""Green, Kate""","""Department for Culture, Media and Sport""",5
"""Green, Kate""","""Department for Education""",7
"""Green, Kate""","""Department for Environment, Food and Rural Affairs""",3
"""Green, Kate""","""Department for International Development""",4
"""Green, Kate""","""Department for Transport""",2
"""Green, Kate""","""Department for Work and Pensions""",44
"""Green, Kate""","""Department of Energy and Climate Change""",2
"""Green, Kate""","""Department of Health""",8
"""Green, Kate""","""Foreign and Commonwealth Office""",5
"""Green, Kate""","""Home Office""",4
"""Green, Kate""","""Minister for Women and Equalities""",5
"""Green, Kate""","""Ministry of Defence""",2
"""Green, Kate""","""Ministry of Justice""",10
"""Green, Kate""","""Northern Ireland Office""",2
"""Green, Kate""","""Scotland Office""",3
"""Green, Kate""","""Wales Office""",2
"""Greenwood, Lilian""","""Attorney General""",2
"""Greenwood, Lilian""","""Department for Business, Innovation and Skills""",1
"""Greenwood, Lilian""","""Department for Culture, Media and Sport""",1
"""Greenwood, Lilian""","""Department for Environment, Food and Rural Affairs""",2
"""Greenwood, Lilian""","""Department for Transport""",315
"""Greenwood, Lilian""","""Department of Energy and Climate Change""",1
"""Greenwood, Lilian""","""Treasury""",1
"""Greenwood, Margaret""","""Cabinet Office""",1
"""Greenwood, Margaret""","""Communities and Local Government""",3
"""Greenwood, Margaret""","""Department for Environment, Food and Rural Affairs""",5
"""Greenwood, Margaret""","""Department for International Development""",1
"""Greenwood, Margaret""","""Department for Transport""",3
"""Greenwood, Margaret""","""Department for Work and Pensions""",1
"""Greenwood, Margaret""","""Department of Health""",1
"""Greenwood, Margaret""","""Treasury""",2
"""Grieve, Dominic""","""Department of Energy and Climate Change""",1
"""Griffith, Nia""","""Department for Business, Innovation and Skills""",4
"""Griffith, Nia""","""Department for Culture, Media and Sport""",3
"""Griffith, Nia""","""Department for Work and Pensions""",1
"""Griffith, Nia""","""Home Office""",1
"""Griffith, Nia""","""Ministry of Justice""",2
"""Griffith, Nia""","""Treasury""",2
"""Griffith, Nia""","""Wales Office""",13
"""Griffiths, Andrew""","""Cabinet Office; UK Statistics Authority""",1
"""Griffiths, Andrew""","""Department for Business, Innovation and Skills""",2
"""Griffiths, Andrew""","""Department for Education""",19
"""Griffiths, Andrew""","""Department of Health""",1
"""Griffiths, Andrew""","""Treasury""",2
"""Gwynne, Andrew""","""Attorney General""",4
"""Gwynne, Andrew""","""Cabinet Office""",8
"""Gwynne, Andrew""","""Cabinet Office; UK Statistics Authority""",3
"""Gwynne, Andrew""","""Communities and Local Government""",27
"""Gwynne, Andrew""","""Department for Business, Innovation and Skills""",5
"""Gwynne, Andrew""","""Department for Culture, Media and Sport""",7
"""Gwynne, Andrew""","""Department for Education""",22
"""Gwynne, Andrew""","""Department for Environment, Food and Rural Affairs""",10
"""Gwynne, Andrew""","""Department for International Development""",8
"""Gwynne, Andrew""","""Department for Transport""",19
"""Gwynne, Andrew""","""Department for Work and Pensions""",9
"""Gwynne, Andrew""","""Department of Energy and Climate Change""",6
"""Gwynne, Andrew""","""Department of Health""",197
"""Gwynne, Andrew""","""Foreign and Commonwealth Office""",18
"""Gwynne, Andrew""","""Home Office""",9
"""Gwynne, Andrew""","""Leader of the House of Commons""",1
"""Gwynne, Andrew""","""Minister for Women and Equalities""",1
"""Gwynne, Andrew""","""Ministry of Defence""",54
"""Gwynne, Andrew""","""Ministry of Justice""",10
"""Gwynne, Andrew""","""Northern Ireland Office""",4
"""Gwynne, Andrew""","""Prime Minister""",3
"""Gwynne, Andrew""","""Scotland Office""",4
"""Gwynne, Andrew""","""Treasury""",15
"""Gwynne, Andrew""","""Wales Office""",6
"""Haigh, Louise""","""Cabinet Office""",140
"""Haigh, Louise""","""Cabinet Office; UK Statistics Authority""",2
"""Haigh, Louise""","""Communities and Local Government""",17
"""Haigh, Louise""","""Department for Business, Innovation and Skills""",46
"""Haigh, Louise""","""Department for Culture, Media and Sport""",14
"""Haigh, Louise""","""Department for Education""",65
"""Haigh, Louise""","""Department for Environment, Food and Rural Affairs""",13
"""Haigh, Louise""","""Department for International Development""",6
"""Haigh, Louise""","""Department for Transport""",14
"""Haigh, Louise""","""Department for Work and Pensions""",36
"""Haigh, Louise""","""Department of Energy and Climate Change""",11
"""Haigh, Louise""","""Department of Health""",35
"""Haigh, Louise""","""Foreign and Commonwealth Office""",13
"""Haigh, Louise""","""Home Office""",41
"""Haigh, Louise""","""House of Commons Commission""",2
"""Haigh, Louise""","""Leader of the House of Commons""",1
"""Haigh, Louise""","""Minister for Women and Equalities""",2
"""Haigh, Louise""","""Ministry of Defence""",8
"""Haigh, Louise""","""Ministry of Justice""",7
"""Haigh, Louise""","""Scotland Office""",2
"""Haigh, Louise""","""Speaker's Committee on the Electoral Commission""",2
